,creator,PR,lifetimeAlpha
0,c66f5e61bcfc11eba9fb5e80f8f2101b,0.038149440102835164,0.10208454331344194
1,61e628e4bdc611eba9fb5e80f8f2101b,0.03287431725395211,0.020890571716751776
2,f87421d2b77c11eb9c085e80f8f2101b,0.02780043183881413,0.11746229207025469
3,bd1883a3b77c11eb9c085e80f8f2101b,0.024564680640771438,0.03084739665158821
4,e16d259fb13d11eb8a7b5e80f8f2101b,0.023066567830246906,0.09816889897642804
5,e52b535fb14a11eb8a7b5e80f8f2101b,0.019426576602969578,0.09409857566956839
6,9ad99d87c2a411eba9fb5e80f8f2101b,0.019319770722201642,0.05391771185970855
7,bebacbcdc2a411eba9fb5e80f8f2101b,0.019298840150710147,0.162167937724895
8,02f0b4d5b13e11eb8a7b5e80f8f2101b,0.01894635695921113,0.07455028885086526
9,c9f9d7d1bc3311eba9fb5e80f8f2101b,0.01861778586975234,0.06591100331652054
10,5165ec39bc3311eba9fb5e80f8f2101b,0.01846602869602082,0.00794983276681903
11,dba1cd34bc3311eba9fb5e80f8f2101b,0.017556207495339878,0.03917479487202914
12,3cbe97ebbdc611eba9fb5e80f8f2101b,0.014980927821450307,0.10065410684260637
13,ace7856bbc3311eba9fb5e80f8f2101b,0.014656979801649095,0.042531857522859776
14,06c80085ca5a11eba73e5e80f8f2101b,0.01460412368379556,0.2546253612483384
15,a6348eadb13411eb8a7b5e80f8f2101b,0.014160607694320529,0.1124453944888777
16,6cd572daca5911eba73e5e80f8f2101b,0.01389906788475254,0.10588820066877341
17,b7947cf6b14a11eb8a7b5e80f8f2101b,0.013713693512333352,0.17373089922292975
18,1ce9eaf4b13f11eb8a7b5e80f8f2101b,0.013684510817114222,-0.08190138670583674
19,3e252e66bc3311eba9fb5e80f8f2101b,0.0136534574913185,0.11069332535547143
20,6db6b120c51011eba73e5e80f8f2101b,0.013388217160556262,0.1110836140109597
21,13672f18b13e11eb8a7b5e80f8f2101b,0.012778755617228342,0.04310540173579493
22,26e57c18c74011eba73e5e80f8f2101b,0.012195912969406903,0.39874484853039277
23,038e8a15b77d11eb9c085e80f8f2101b,0.012055532731773616,0.08480389665142977
24,0ee7f728b77d11eb9c085e80f8f2101b,0.011706414176982854,0.14013214715602773
25,caa08930b13a11eb8a7b5e80f8f2101b,0.01144788089705536,0.12020505975692343
26,b0dc30a0b77c11eb9c085e80f8f2101b,0.011441258196134674,0.11421460250891276
27,e0de61bcb77c11eb9c085e80f8f2101b,0.010981730233470472,0.009780183853109073
28,82b60b34b13a11eb8a7b5e80f8f2101b,0.01067793785381524,0.22003732796679726
29,201a38bbb13e11eb8a7b5e80f8f2101b,0.010523309477137019,0.15248172744342506
30,913ad150c73f11eba73e5e80f8f2101b,0.010386312748452545,0.10433753983754218
31,80769162bc3311eba9fb5e80f8f2101b,0.010351648543808944,0.008161075787683882
32,84d74a8db14a11eb8a7b5e80f8f2101b,0.010066013350710775,0.20799338063451675
33,97f7fd40b14a11eb8a7b5e80f8f2101b,0.010065479534408783,0.0006495861389397217
34,1622d198ca5a11eba73e5e80f8f2101b,0.009939056337313045,0.2922515431828588
35,58246d24b13411eb8a7b5e80f8f2101b,0.009933415245755622,0.08360113637609301
36,035e9c71b13f11eb8a7b5e80f8f2101b,0.009602596376965622,0.26694296787987776
37,6f8678b7bdc611eba9fb5e80f8f2101b,0.00959578783044506,0.09684231626162403
38,37569574b13b11eb8a7b5e80f8f2101b,0.009496796588759184,0.27873551665984525
39,bd4658febc3311eba9fb5e80f8f2101b,0.009294711054284617,-0.03368007003323418
40,6f1c57f1b13a11eb8a7b5e80f8f2101b,0.009291946735085422,0.029914018663954114
41,db416c7cca5911eba73e5e80f8f2101b,0.009141707093007623,0.09874193608087764
42,aa4b717ec42f11eba73e5e80f8f2101b,0.00886956518518235,0.08461892853742461
43,1ff27ea4da1b11eba73e5e80f8f2101b,0.008838966668591842,0.18070105293545777
44,8f4b0188bd2111eba9fb5e80f8f2101b,0.008838064403914173,0.13216882594642224
45,e5e651e7e54611eb91445e80f8f2101b,0.008606480687853295,0.006372893934987082
46,e3f67968bdc511eba9fb5e80f8f2101b,0.008567848119056967,0.16676284178339265
47,8467c053dd3111eb96635e80f8f2101b,0.008418476946690507,0.3558753701779488
48,70af3b97b13411eb8a7b5e80f8f2101b,0.008392484394371163,0.0123510341896469
49,b0677589f12b11eb91445e80f8f2101b,0.008364710511186346,0.06925222819933437
50,55408cc1bdc611eba9fb5e80f8f2101b,0.008211640677961804,0.13635443024767477
51,03ebe8f1b13411eb8a7b5e80f8f2101b,0.008163231263784616,0.1405409659180504
52,446632b7c8c611eba73e5e80f8f2101b,0.008058346908536622,0.10739309287653565
53,d4a40a89b77c11eb9c085e80f8f2101b,0.007967385867287718,0.04437385730289558
54,a16524fdb77c11eb9c085e80f8f2101b,0.007960539210274249,0.027442553362466208
55,c782db79b14a11eb8a7b5e80f8f2101b,0.007704967966407293,0.05456186484164993
56,300796a8bdc611eba9fb5e80f8f2101b,0.007665443991740555,0.1460221050901237
57,caf7b384c42f11eba73e5e80f8f2101b,0.007632132842916366,0.10073980911310167
58,18fcfd5bb77d11eb9c085e80f8f2101b,0.007468371839953624,0.016594596905626015
59,0a5603edfaa111eb91445e80f8f2101b,0.007368543572111818,0.10395496885097735
60,a0525526f12b11eb91445e80f8f2101b,0.007358365345830512,0.03662998294050285
61,284d3fc1b13b11eb8a7b5e80f8f2101b,0.007352897581962979,0.24734297201520583
62,282d0290c1bd11eba9fb5e80f8f2101b,0.006772804035978221,0.06116477715531969
63,6206d1dcbc3311eba9fb5e80f8f2101b,0.006414913330913371,0.09702490116948109
64,7f9b344dca5911eba73e5e80f8f2101b,0.006077332999740219,0.11630966439865562
65,8fdad855bc3311eba9fb5e80f8f2101b,0.005999011486282432,0.06857072235509076
66,99527727b13a11eb8a7b5e80f8f2101b,0.005990414884955297,0.1702821369740824
67,07cd64ecb13b11eb8a7b5e80f8f2101b,0.005906856017284587,0.38616025815672234
68,1147e261bdc611eba9fb5e80f8f2101b,0.005897897850963059,0.06257145095840985
69,7efe31c0c8c611eba73e5e80f8f2101b,0.005667545592689656,0.034288463594033806
70,2f65d227b13f11eb8a7b5e80f8f2101b,0.005446023140791272,-0.05868810516494405
71,a63158c3b14a11eb8a7b5e80f8f2101b,0.005313153492564804,0.07778137612351205
72,c182e25cf12b11eb91445e80f8f2101b,0.0052046400847627645,-0.03028470339811377
73,f6e85796e60c11eb91445e80f8f2101b,0.004875540143134838,0.29174447309549695
74,5960ae7ac8c611eba73e5e80f8f2101b,0.00476914012124773,-0.08517512516253259
75,a2ee4498bc3311eba9fb5e80f8f2101b,0.004768002938919565,0.22511314823460957
76,b1430b23c73f11eba73e5e80f8f2101b,0.004755758377283406,0.18215785679664742
77,2359631bca5a11eba73e5e80f8f2101b,0.004752223776496555,0.44665291246561684
78,f974e8a9b13a11eb8a7b5e80f8f2101b,0.004495177635269866,0.0909460316635158
79,ed23fc36b13a11eb8a7b5e80f8f2101b,0.0043731563922249144,0.2331607613819004
80,ac9b9614e2ce11eb96635e80f8f2101b,0.004325845295045196,0.07338568109133405
81,d758cca9c73f11eba73e5e80f8f2101b,0.004193089300673353,0.14727085317408795
82,d838a547c42f11eba73e5e80f8f2101b,0.004167659353256527,0.1705091345300402
83,f211c912b14a11eb8a7b5e80f8f2101b,0.0038548187321965363,0.0391064524391157
84,f1e7a21eb13e11eb8a7b5e80f8f2101b,0.0037647287264784115,0.2174445292331649
