,follower_idea,leader_idea,PR
58,00fbb589be0211eb9b615e80f8f2101b,66b9ffabb77e11ebbd3b5e80f8f2101b,0.1
59,990ab84bbe8011eb9b615e80f8f2101b,694c8874b15211ebbd8d5e80f8f2101b,0.1
60,db443534beaa11eb9b615e80f8f2101b,05cf2dddb84511ebbd3b5e80f8f2101b,0.1
61,db443534beaa11eb9b615e80f8f2101b,15334075bc3911eb9b615e80f8f2101b,2.0
62,f2becc30beaa11eb9b615e80f8f2101b,8668d0afb6d411eb860b5e80f8f2101b,0.1
63,1b8e4406bead11eb9b615e80f8f2101b,33108dcfb78811ebbd3b5e80f8f2101b,0.1
64,7b11130dbeb011eb9b615e80f8f2101b,e901b771beaf11eb9b615e80f8f2101b,5.0
65,118acca9bdf811eb9b615e80f8f2101b,4d59a523b2fe11eb860b5e80f8f2101b,0.1
66,118acca9bdf811eb9b615e80f8f2101b,b251e4aabdba11eb9b615e80f8f2101b,5.0
67,372e36f4beac11eb9b615e80f8f2101b,b4fcc25fbdeb11eb9b615e80f8f2101b,5.0
68,b02d1963beac11eb9b615e80f8f2101b,d41e051fbdcb11eb9b615e80f8f2101b,4.0
69,7f93c2f1beb511eb9b615e80f8f2101b,53337cf3b88011ebbd3b5e80f8f2101b,0.1
70,f6dbd37fbf5c11eb9b615e80f8f2101b,694c8874b15211ebbd8d5e80f8f2101b,0.1
71,f6dbd37fbf5c11eb9b615e80f8f2101b,990ab84bbe8011eb9b615e80f8f2101b,4.0
72,2750b22ebf5411eb9b615e80f8f2101b,99fc6ecfb14111ebbd8d5e80f8f2101b,0.1
73,c9c05da5bf7811eb9b615e80f8f2101b,d0391a04b77d11ebbd3b5e80f8f2101b,0.1
74,94817e72bf5211eb9b615e80f8f2101b,1d137542bf5211eb9b615e80f8f2101b,5.0
75,d07d9aa7bf6011eb9b615e80f8f2101b,a1de9154b1ef11ebab175e80f8f2101b,0.1
76,ecdd2a17bf5311eb9b615e80f8f2101b,325efb08b47911eb860b5e80f8f2101b,0.1
77,ecdd2a17bf5311eb9b615e80f8f2101b,6b26461eb6b811eb860b5e80f8f2101b,0.1
78,c3a57a57bf7611eb9b615e80f8f2101b,fc2e31c5b2e611eb860b5e80f8f2101b,0.1
79,fcf73b70bf7211eb9b615e80f8f2101b,8f5bbc1ebdc611eb9b615e80f8f2101b,3.0
80,e7ff2380bece11eb9b615e80f8f2101b,b4fcc25fbdeb11eb9b615e80f8f2101b,4.0
81,e7ff2380bece11eb9b615e80f8f2101b,372e36f4beac11eb9b615e80f8f2101b,5.0
82,b37094ecbec011eb9b615e80f8f2101b,0e15d16bb47b11eb860b5e80f8f2101b,0.1
83,b37094ecbec011eb9b615e80f8f2101b,639d1839b6a911eb860b5e80f8f2101b,0.1
84,b37094ecbec011eb9b615e80f8f2101b,3396e5a4b6f211eb860b5e80f8f2101b,0.1
85,b37094ecbec011eb9b615e80f8f2101b,5807aa6cb84a11ebbd3b5e80f8f2101b,0.1
86,f45f2de5c1bd11eb9b615e80f8f2101b,944d0f54b47a11eb860b5e80f8f2101b,0.1
87,8c67f8abc1b411eb9b615e80f8f2101b,0520eaeeb2ff11eb860b5e80f8f2101b,0.1
88,8c67f8abc1b411eb9b615e80f8f2101b,ad4137d3bdfd11eb9b615e80f8f2101b,1.0
89,d1284609c1b911eb9b615e80f8f2101b,e892ace3b86b11ebbd3b5e80f8f2101b,0.1
90,d1284609c1b911eb9b615e80f8f2101b,06ef81d0c1ab11eb9b615e80f8f2101b,5.0
91,1c412815bf9011eb9b615e80f8f2101b,8f5bbc1ebdc611eb9b615e80f8f2101b,3.0
92,1c412815bf9011eb9b615e80f8f2101b,fcf73b70bf7211eb9b615e80f8f2101b,5.0
93,4c925f5fc1be11eb9b615e80f8f2101b,88df2b7bb6cd11eb860b5e80f8f2101b,0.1
94,4c925f5fc1be11eb9b615e80f8f2101b,d3154984bc3811eb9b615e80f8f2101b,0.1
95,e0411a45c1bb11eb9b615e80f8f2101b,05cf2dddb84511ebbd3b5e80f8f2101b,0.1
96,e0411a45c1bb11eb9b615e80f8f2101b,15334075bc3911eb9b615e80f8f2101b,0.1
97,e0411a45c1bb11eb9b615e80f8f2101b,db443534beaa11eb9b615e80f8f2101b,2.0
98,e0411a45c1bb11eb9b615e80f8f2101b,0e66789dc1b511eb9b615e80f8f2101b,5.0
99,6e6b7ba7c1d311eb9b615e80f8f2101b,e892ace3b86b11ebbd3b5e80f8f2101b,0.1
100,6e6b7ba7c1d311eb9b615e80f8f2101b,d1284609c1b911eb9b615e80f8f2101b,5.0
