,creator,PR,lifetimeAlpha
0,f87421d2b77c11eb9c085e80f8f2101b,0.027917386497749632,0.11746229207025469
1,3cbe97ebbdc611eba9fb5e80f8f2101b,0.02675019786333442,0.10065410684260637
2,61e628e4bdc611eba9fb5e80f8f2101b,0.025524062779110013,0.020890571716751776
3,bd1883a3b77c11eb9c085e80f8f2101b,0.0235494770122401,0.03084739665158821
4,0a5603edfaa111eb91445e80f8f2101b,0.02287950312822939,0.10395496885097735
5,6f8678b7bdc611eba9fb5e80f8f2101b,0.021060384451033465,0.09684231626162403
6,e52b535fb14a11eb8a7b5e80f8f2101b,0.020595257662485038,0.09409857566956839
7,038e8a15b77d11eb9c085e80f8f2101b,0.01971102835203012,0.08480389665142977
8,c9f9d7d1bc3311eba9fb5e80f8f2101b,0.019020550115549224,0.06591100331652054
9,55408cc1bdc611eba9fb5e80f8f2101b,0.018993214908665963,0.13635443024767477
10,bebacbcdc2a411eba9fb5e80f8f2101b,0.018651666302716783,0.162167937724895
11,e0de61bcb77c11eb9c085e80f8f2101b,0.0159787204313598,0.009780183853109073
12,b0dc30a0b77c11eb9c085e80f8f2101b,0.014930429387122437,0.11421460250891276
13,6cd572daca5911eba73e5e80f8f2101b,0.01492117458304696,0.10588820066877341
14,d4a40a89b77c11eb9c085e80f8f2101b,0.014681863649968974,0.04437385730289558
15,3e252e66bc3311eba9fb5e80f8f2101b,0.013722863632288354,0.11069332535547143
16,c66f5e61bcfc11eba9fb5e80f8f2101b,0.013458968976828854,0.10208454331344194
17,bd4658febc3311eba9fb5e80f8f2101b,0.013129228329791845,-0.03368007003323418
18,dba1cd34bc3311eba9fb5e80f8f2101b,0.01280549268436892,0.03917479487202914
19,db416c7cca5911eba73e5e80f8f2101b,0.012758089210557003,0.09874193608087764
20,5165ec39bc3311eba9fb5e80f8f2101b,0.012396244122552563,0.00794983276681903
21,201a38bbb13e11eb8a7b5e80f8f2101b,0.012121152211803425,0.15248172744342506
22,6206d1dcbc3311eba9fb5e80f8f2101b,0.01210853602035655,0.09702490116948109
23,300796a8bdc611eba9fb5e80f8f2101b,0.011173329873813585,0.1460221050901237
24,7f9b344dca5911eba73e5e80f8f2101b,0.011129297130691941,0.11630966439865562
25,82b60b34b13a11eb8a7b5e80f8f2101b,0.011020854297142467,0.22003732796679726
26,13672f18b13e11eb8a7b5e80f8f2101b,0.010982037451323198,0.04310540173579493
27,a16524fdb77c11eb9c085e80f8f2101b,0.010935666031358898,0.027442553362466208
28,18fcfd5bb77d11eb9c085e80f8f2101b,0.01085344178865552,0.016594596905626015
29,37569574b13b11eb8a7b5e80f8f2101b,0.010658080526667557,0.27873551665984525
30,ace7856bbc3311eba9fb5e80f8f2101b,0.010562476466437147,0.042531857522859776
31,2f65d227b13f11eb8a7b5e80f8f2101b,0.010161203271623745,-0.05868810516494405
32,02b7180ebdc611eba9fb5e80f8f2101b,0.009863807858792695,0.029524990770006424
33,06c80085ca5a11eba73e5e80f8f2101b,0.009604205613109762,0.2546253612483384
34,b7947cf6b14a11eb8a7b5e80f8f2101b,0.00948257007930931,0.17373089922292975
35,6db6b120c51011eba73e5e80f8f2101b,0.009463599650154076,0.1110836140109597
36,b0677589f12b11eb91445e80f8f2101b,0.009347082327144327,0.06925222819933437
37,80769162bc3311eba9fb5e80f8f2101b,0.009202073833113613,0.008161075787683882
38,02f0b4d5b13e11eb8a7b5e80f8f2101b,0.009065443043285222,0.07455028885086526
39,dc9dac31cd8411eba73e5e80f8f2101b,0.009024997613430024,0.1632741718574149
40,e16d259fb13d11eb8a7b5e80f8f2101b,0.00901420321527559,0.09816889897642804
41,e5e651e7e54611eb91445e80f8f2101b,0.008921676078148156,0.006372893934987082
42,6f1c57f1b13a11eb8a7b5e80f8f2101b,0.008831624478603603,0.029914018663954114
43,8fdad855bc3311eba9fb5e80f8f2101b,0.00852081135657053,0.06857072235509076
44,88757a2ae93911eb91445e80f8f2101b,0.008516919496716633,-0.012091961739492669
45,8f4b0188bd2111eba9fb5e80f8f2101b,0.008501463988809254,0.13216882594642224
46,f6e85796e60c11eb91445e80f8f2101b,0.008433146619900283,0.29174447309549695
47,913ad150c73f11eba73e5e80f8f2101b,0.00837866934916026,0.10433753983754218
48,9ad99d87c2a411eba9fb5e80f8f2101b,0.008364918671123253,0.05391771185970855
49,446632b7c8c611eba73e5e80f8f2101b,0.007994869870861083,0.10739309287653565
50,f1e7a21eb13e11eb8a7b5e80f8f2101b,0.0076094351372363,0.2174445292331649
51,1147e261bdc611eba9fb5e80f8f2101b,0.007452957308578269,0.06257145095840985
52,7efe31c0c8c611eba73e5e80f8f2101b,0.007370937264300523,0.034288463594033806
53,ac9b9614e2ce11eb96635e80f8f2101b,0.007255385777409559,0.07338568109133405
54,8467c053dd3111eb96635e80f8f2101b,0.007208455501631291,0.3558753701779488
55,f8fcf732ca5911eba73e5e80f8f2101b,0.007120801865665569,0.29062695137084316
56,2bb34aa8e93911eb91445e80f8f2101b,0.007018023231905413,-0.04418763276450969
57,035e9c71b13f11eb8a7b5e80f8f2101b,0.00701640294764423,0.26694296787987776
58,03ebe8f1b13411eb8a7b5e80f8f2101b,0.006824088461612099,0.1405409659180504
59,0ee7f728b77d11eb9c085e80f8f2101b,0.006674192989234833,0.14013214715602773
60,f211c912b14a11eb8a7b5e80f8f2101b,0.006529091655949927,0.0391064524391157
61,5960ae7ac8c611eba73e5e80f8f2101b,0.006520872874364892,-0.08517512516253259
62,5120939ac51011eba73e5e80f8f2101b,0.006312056101562604,0.07289982093870756
63,99527727b13a11eb8a7b5e80f8f2101b,0.006155425759235696,0.1702821369740824
64,c782db79b14a11eb8a7b5e80f8f2101b,0.00609039589598381,0.05456186484164993
65,282d0290c1bd11eba9fb5e80f8f2101b,0.006043831801501188,0.06116477715531969
66,dd0f7f1ff12b11eb91445e80f8f2101b,0.005861435538215321,0.0016909550472560006
67,5a762119018211ec8bfa0242797fea16,0.005713913389305508,0.009806333328278771
68,ad4a59b8cd8411eba73e5e80f8f2101b,0.005552330846751767,0.04225295502355654
69,aa4b717ec42f11eba73e5e80f8f2101b,0.005529962793044197,0.08461892853742461
70,8fc310ee018011ec8bfa0242797fea16,0.0055242006359274825,0.031107002458851066
71,eabb9074cd8411eba73e5e80f8f2101b,0.005501286766815742,-0.06771409811106305
72,ea44a7afca5911eba73e5e80f8f2101b,0.0054954141847813175,0.1892016501568407
